Suburb,Postcode,State,Country,Latitude,Longitude
Australian National University,0200,Australian Capital Territory,Australia,-35.27772,149.11891
Barton,0221,Australian Capital Territory,Australia,-35.3048892,149.141209
Darwin,0800,Northern Territory,Australia,-12.46113366,130.8418465
Darwin,0801,Northern Territory,Australia,-12.46113366,130.8418465
Wagait Beach,0803,Northern Territory,Australia,-12.43482,130.74434
Parap,0804,Northern Territory,Australia,-12.43054167,130.8414173
Alawa,0810,Northern Territory,Australia,-12.37954439,130.8732025
Brinkin,0810,Northern Territory,Australia,-12.37057229,130.8679908
Casuarina,0810,Northern Territory,Australia,-12.37401185,130.8822367
Coconut Grove,0810,Northern Territory,Australia,-12.39602443,130.8518626
Jingili,0810,Northern Territory,Australia,-12.38894726,130.8728106
Lee Point,0810,Northern Territory,Australia,-12.34151,130.88953
Lyons,0810,Northern Territory,Australia,-12.35912086,130.8885166
Millner,0810,Northern Territory,Australia,-12.39185869,130.8625203
Moil,0810,Northern Territory,Australia,-12.38850389,130.8808826
Muirhead,0810,Northern Territory,Australia,-12.35863,130.89352
Nakara,0810,Northern Territory,Australia,-12.37053927,130.8772795
Nightcliff,0810,Northern Territory,Australia,-12.38299179,130.8516998
Rapid Creek,0810,Northern Territory,Australia,-12.38042094,130.8591945
Tiwi,0810,Northern Territory,Australia,-12.35876007,130.8780045
Wagaman,0810,Northern Territory,Australia,-12.38074205,130.8853802
Wanguri,0810,Northern Territory,Australia,-12.37128784,130.8881452
Casuarina,0811,Northern Territory,Australia,-12.37401185,130.8822367
Anula,0812,Northern Territory,Australia,-12.39124885,130.8904703
Buffalo Creek,0812,Northern Territory,Australia,-12.33682,130.9054
Holmes,0812,Northern Territory,Australia,-37.81399656,144.9633229
Karama,0812,Northern Territory,Australia,-12.40219,130.916
Leanyer,0812,Northern Territory,Australia,-12.3666667,130.9
Malak,0812,Northern Territory,Australia,-12.39287947,130.9039546
Marrara,0812,Northern Territory,Australia,-12.40041295,130.8929004
Sanderson,0812,Northern Territory,Australia,-12.37924297,130.8784231
Woodleigh Gardens,0812,Northern Territory,Australia,-12.37924297,130.8784231
Wulagi,0812,Northern Territory,Australia,-12.38344984,130.8954305
Karama,0813,Northern Territory,Australia,-12.40219,130.916
Sanderson,0813,Northern Territory,Australia,-12.37924297,130.8784231
Nightcliff,0814,Northern Territory,Australia,-12.38299179,130.8516998
Charles Darwin University,0815,Northern Territory,Australia,-12.37924297,130.8784231
Bagot,0820,Northern Territory,Australia,-12.41528623,130.856781
Bayview,0820,Northern Territory,Australia,-12.43356,130.85704
Charles Darwin,0820,Northern Territory,Australia,-12.43385,130.87369
Coonawarra,0820,Northern Territory,Australia,-12.43409075,130.9098245
Darwin DC,0820,Northern Territory,Australia,-12.42524396,130.869695
Darwin International Airport,0820,Northern Territory,Australia,-12.42524396,130.869695
East Point,0820,Northern Territory,Australia,-12.40778,130.81944
Eaton,0820,Northern Territory,Australia,-12.4123979,130.8807039
Fannie Bay,0820,Northern Territory,Australia,-12.42274642,130.8362675
Larrakeyah,0820,Northern Territory,Australia,-12.45526698,130.8317184
Ludmilla,0820,Northern Territory,Australia,-12.4203156,130.8550644
Parap,0820,Northern Territory,Australia,-12.43054167,130.8414173
Stuart Park,0820,Northern Territory,Australia,-12.44496,130.84301
The Gardens,0820,Northern Territory,Australia,-12.44904,130.83159
The Narrows,0820,Northern Territory,Australia,-12.42639886,130.8595303
Winnellie,0820,Northern Territory,Australia,-12.42924447,130.8859484
Woolner,0820,Northern Territory,Australia,-12.43544,130.84794
